Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
5, 0.07, 0.229904, 0.0199081, 0.445198, 0.285072
5, 0.075, 0.244724, 0.0210693, 0.47269, 0.326342
5, 0.08, 0.231752, 0.0188854, 0.424238, 0.348125
5, 0.085, 0.247224, 0.0204689, 0.453359, 0.392369
5, 0.09, 0.262054, 0.0225671, 0.480715, 0.438699
5, 0.095, 0.277321, 0.0247083, 0.509375, 0.489583
6, 0, 0.00457411, 0.000640378, -0.00111603, 0.000278315
6, 0.005, 0.0307537, 0.00102422, 0.00491123, 0.00439198
6, 0.01, 0.055814, 0.00153663, 0.0103451, 0.0137835
6, 0.015, 0.0799755, 0.00231373, 0.0149164, 0.0274938
6, 0.02, 0.102918, 0.00337352, 0.0183961, 0.0441563
6, 0.025, 0.124522, 0.0047301, 0.0207796, 0.0625137
6, 0.03, 0.145132, 0.00639023, 0.0224333, 0.0822282
6, 0.035, 0.165459, 0.00833915, 0.0239433, 0.10413
6, 0.04, 0.186214, 0.0105178, 0.0258437, 0.12968
6, 0.045, 0.207765, 0.0128049, 0.028445, 0.160154
6, 0.05, 0.229942, 0.0150527, 0.0317183, 0.195775
6, 0.055, 0.252175, 0.0171651, 0.0353384, 0.235431
6, 0.06, 0.273928, 0.0191382, 0.0389276, 0.277464
6, 0.065, 0.295072, 0.0210369, 0.0423276, 0.321046
6, 0.07, 0.316169, 0.0229985, 0.0457835, 0.367758
6, 0.075, 0.33792, 0.0253198, 0.0494901, 0.420089
6, 0.08, 0.333447, 0.0237292, 0.0597594, 0.406028
6, 0.085, 0.354458, 0.0262246, 0.0629463, 0.45776
6, 0.09, 0.375784, 0.028893, 0.0663174, 0.513991
6, 0.095, 0.397267, 0.0317172, 0.0697669, 0.574188
7, 0, 0.0043902, 0.000666997, 0.0180169, 0.000298733
7, 0.005, 0.0271766, 0.000953788, 0.00917671, 0.00377586
7, 0.01, 0.049235, 0.00139142, 0.000569876, 0.0127536
7, 0.015, 0.0704631, 0.00208388, -0.00598859, 0.0263529
7, 0.02, 0.0904025, 0.00305432, -0.00970883, 0.0431066
7, 0.025, 0.109057, 0.00430953, -0.01075, 0.0618541
7, 0.03, 0.127026, 0.00583834, -0.0103246, 0.0826612
